0001;1;0001-1-cropped.tif;train;0001
0001;2;0001-2-cropped.tif;val;0001
0001;3;0001-3-cropped.tif;train;0001
0001;4;0001-4-cropped.tif;test;0001/4
0001;6;0001-6-cropped.tif;test;0001/6
0001;7;0001-7-cropped.tif;test;0001/7
0001;8;0001-8-cropped.tif;test;0001/8
0002;1;0002-1-cropped.tif;train;0002
0002;2;0002-2-cropped.tif;val;0002
0002;3;0002-3-cropped.tif;train;0002
0002;4;0002-4-cropped.tif;test;0002/4
0002;6;0002-6-cropped.tif;test;0002/6
0002;7;0002-7-cropped.tif;test;0002/7
0002;8;0002-8-cropped.tif;test;0002/8
0003;1;0003-1-cropped.tif;train;0003
0003;2;0003-2-cropped.tif;val;0003
0003;3;0003-3-cropped.tif;train;0003
0003;4;0003-4-cropped.tif;test;0003/4
0003;6;0003-6-cropped.tif;test;0003/6
0003;7;0003-7-cropped.tif;test;0003/7
0003;8;0003-8-cropped.tif;test;0003/8
0004;1;0004-1-cropped.tif;train;0004
0004;2;0004-2-cropped.tif;val;0004
0004;3;0004-3-cropped.tif;train;0004
0004;4;0004-4-cropped.tif;test;0004/4
0004;6;0004-6-cropped.tif;test;0004/6
0004;7;0004-7-cropped.tif;test;0004/7
0004;8;0004-8-cropped.tif;test;0004/8
0005;1;0005-1-cropped.tif;train;0005
0005;2;0005-2-cropped.tif;val;0005
0005;3;0005-3-cropped.tif;train;0005
0005;4;0005-4-cropped.tif;test;0005/4
0005;6;0005-6-cropped.tif;test;0005/6
0005;7;0005-7-cropped.tif;test;0005/7
0005;8;0005-8-cropped.tif;test;0005/8
0006;1;0006-1-cropped.tif;train;0006
0006;2;0006-2-cropped.tif;val;0006
0006;3;0006-3-cropped.tif;train;0006
0006;4;0006-4-cropped.tif;test;0006/4
0006;6;0006-6-cropped.tif;test;0006/6
0006;7;0006-7-cropped.tif;test;0006/7
0006;8;0006-8-cropped.tif;test;0006/8
0012;1;0012-1-cropped.tif;train;0012
0012;2;0012-2-cropped.tif;val;0012
0012;3;0012-3-cropped.tif;train;0012
0012;4;0012-4-cropped.tif;test;0012/4
0012;6;0012-6-cropped.tif;test;0012/6
0012;7;0012-7-cropped.tif;test;0012/7
0012;8;0012-8-cropped.tif;test;0012/8
0013;1;0013-1-cropped.tif;train;0013
0013;2;0013-2-cropped.tif;val;0013
0013;3;0013-3-cropped.tif;train;0013
0013;4;0013-4-cropped.tif;test;0013/4
0013;6;0013-6-cropped.tif;test;0013/6
0013;7;0013-7-cropped.tif;test;0013/7
